,Tweet ID,Conversation ID,Username,Date,Text,URL,Origin,Likes,Replies,Retweets,Quotes,Negative Sentiment Score,Neutral Sentiment Score,Positive Sentiment Score,Compound Sentiment Score
253,1603629945787363328,,ZhaoKeke9,2022-12-16 05:55:47,"RT @xiadaoshi: @JChengWSJ @LiYuan6 The China bureau Chief of @WSJ starts tweeting @nytimes, you know they are actually working together and…",https://twitter.com/twitter/statuses/1603629945787363328,retweet,0,0,1,0,0.0,1.0,0.0,0.0
254,1603615725138358273,1603591755529871360,XiMa17409053,2022-12-16 05:59:17,@mariocavolo  https://t.co/qVYEtimMnM,https://twitter.com/XiMa17409053/status/1603615725138358273,search,0,0,0,0,0.0,1.0,0.0,0.0
255,1603616726125383680,1603578408260313091,rwphan,2022-12-16 06:03:15,"@xuchuanmei @JChengWSJ @LiYuan6 For the press, you &amp; ur relatives &amp; friends do not represent their audience nor their sources. They file you under ""do not interview"". As long as they find one who sound half as frustrated as what they say they'll hold them up as representing ""many"".",https://twitter.com/rwphan/status/1603616726125383680,reply,2,2,0,0,0.064,0.879,0.058,-0.0772
256,1603616442527600641,1603578408260313091,xuchuanmei,2022-12-16 06:02:08,@JChengWSJ @LiYuan6 @nytimes pls don't over do trashy propaganda like this. You need to make your propaganda more substle so that it's more believable &amp; more likely to successfully fool those naive Chinese into believing the US is really the beacon of freedom (yes I used to be one of them).,https://twitter.com/xuchuanmei/status/1603616442527600641,reply,3,0,0,0,0.144,0.672,0.184,0.5367
257,1603844871730892800,,taotheking1550,2022-12-16 20:09:50,RT @hylevel902: @JChengWSJ @LiYuan6 Sick🤮,https://twitter.com/twitter/statuses/1603844871730892800,retweet,0,0,1,0,0.0,1.0,0.0,0.0
258,1603625324192837632,1603578408260313091,WRaiindah,2022-12-16 06:37:25,@Smar363795592 @Jerry_grey2002 @JChengWSJ @LiYuan6 Its not whether you get knocked down Its whether you get up again,https://twitter.com/WRaiindah/status/1603625324192837632,reply,0,0,0,0,0.0,1.0,0.0,0.0
259,1603617101977030657,1603578408260313091,Marchx99,2022-12-16 06:04:45,"@Smar363795592 @Jerry_grey2002 @JChengWSJ @LiYuan6 Parroting CCP propaganda will actually earn you money, while criticizing it will earn you harassment and very little benefits",https://twitter.com/Marchx99/status/1603617101977030657,reply,0,1,0,0,0.27,0.642,0.087,-0.6613
260,1603846938960752640,,taotheking1550,2022-12-16 20:18:02,RT @legendofcheese: @JChengWSJ @LiYuan6 You mean the government that literally just listened and responded to its people?,https://twitter.com/twitter/statuses/1603846938960752640,retweet,0,0,1,0,0.0,1.0,0.0,0.0
261,1603609425927090176,1603578408260313091,1rossfoster,2022-12-16 05:34:15,@JChengWSJ @LiYuan6 I'🤑$ G0NN\A/ ruLE THE WORLD! etc. etc.  https://t.co/n52rncg1Xo,https://twitter.com/1rossfoster/status/1603609425927090176,reply,1,0,0,0,0.0,1.0,0.0,0.0
262,1603844909064409088,,taotheking1550,2022-12-16 20:09:58,"RT @Henry_uiliam: @JChengWSJ @LiYuan6 There's no right by these guys. you save lives, they complain, you dont they complain. 🤡",https://twitter.com/twitter/statuses/1603844909064409088,retweet,0,0,1,0,0.283,0.591,0.126,-0.4588
263,1603982588795813888,,fleme95,2022-12-17 05:17:04,"RT @toxxygen: @JChengWSJ @LiYuan6 Yeah, expats and Chinese libs living in their bubbles say all kinds of crap.",https://twitter.com/twitter/statuses/1603982588795813888,retweet,0,0,2,0,0.125,0.769,0.106,-0.1027
264,1603613814456320000,1603578408260313091,Marchx99,2022-12-16 05:51:41,"@RealSexyCyborg @JChengWSJ @LiYuan6 Sure, Shanghainese were extremely happy to be locked in their houses for months and thanked dear leader and party without whom they wouldn't be anything and then everyone clapped, you can see wumao's in full force parroting how correct and amazing everything is",https://twitter.com/Marchx99/status/1603613814456320000,reply,0,1,0,0,0.0,0.686,0.314,0.9538
265,1603604477239599104,1603578408260313091,rational_matt,2022-12-16 05:14:35,"@RealSexyCyborg @JChengWSJ @LiYuan6 I think it would be helpful for his story to provide evidence to support his claim, but for you to say it is fabricated and that ""literally no one is saying anything like this"" is conjecture.",https://twitter.com/rational_matt/status/1603604477239599104,reply,0,4,0,0,0.064,0.776,0.16,0.4939
266,1603991607044616192,1603578408260313091,MonkeyTraderIII,2022-12-17 06:52:54,@Jerry_grey2002 @JChengWSJ @LiYuan6 This account is just weird. It seems like he is doing his job to toe the western propaganda for the company he works for.   Wish I can see a different person after he leave his role.,https://twitter.com/MonkeyTraderIII/status/1603991607044616192,reply,2,0,0,0,0.116,0.76,0.124,0.3182
267,1603933166607155201,1603578408260313091,jonnywall22,2022-12-17 03:00:41,@Jerry_grey2002 @JChengWSJ @LiYuan6 truths and facts Jerry 👍 great ratio against this imperialists stenographer,https://twitter.com/jonnywall22/status/1603933166607155201,reply,1,0,0,0,0.0,0.615,0.385,0.7845
268,1603673048305242117,1603578408260313091,KoeWilson,2022-12-16 09:47:04,"@Jerry_grey2002 @JChengWSJ @LiYuan6 Perhaps you should ask him how many people has he spoken to Jerry. Am quite used to ""story creation"" by journalist when the going is tough (editor/peer pressure).",https://twitter.com/KoeWilson/status/1603673048305242117,reply,5,1,0,0,0.046,0.89,0.064,0.1531
269,1603637073478488064,1603578408260313091,ProfessorBoz,2022-12-16 07:24:07,"@Jerry_grey2002 @DroidAgent @mariocavolo @JChengWSJ @LiYuan6 When a NYT, RFA, BBC, The Atlantic, etc. journalist says, ""EVERYONE I talk to in China says...""😂😂😂",https://twitter.com/ProfessorBoz/status/1603637073478488064,reply,12,0,0,0,0.0,1.0,0.0,0.0
270,1603622682678870016,1603578408260313091,vefoodfest,2022-12-16 06:26:56,@Jerry_grey2002 @JChengWSJ @LiYuan6 他永远戴着有色眼镜看待中国发生的一切~,https://twitter.com/vefoodfest/status/1603622682678870016,reply,3,0,0,0,0.0,1.0,0.0,0.0
271,1603622381461057536,1603578408260313091,mariocavolo,2022-12-16 06:25:44,@Jerry_grey2002 @JChengWSJ @LiYuan6 utter despicable nonsense....,https://twitter.com/mariocavolo/status/1603622381461057536,reply,60,1,2,0,0.0,1.0,0.0,0.0
272,1603615977693798401,1603578408260313091,Marchx99,2022-12-16 06:00:17,"@Jerry_grey2002 @JChengWSJ @LiYuan6 It's like parroting old Soviet propaganda, if only the dear leader would have known what kind of stuff is happening, he would personally make sure to solve everything although all the major decisions are being made on top",https://twitter.com/Marchx99/status/1603615977693798401,reply,1,0,0,0,0.042,0.729,0.229,0.7906
273,1603615782185111552,1603578408260313091,WuWeiLiving,2022-12-16 05:59:30,@Jerry_grey2002 @JChengWSJ @LiYuan6 Everybody? This is Journalism of the Year 🤦‍♂️🥴,https://twitter.com/WuWeiLiving/status/1603615782185111552,reply,2,0,0,0,0.0,1.0,0.0,0.0
274,1603613863743606784,1603578408260313091,Smar363795592,2022-12-16 05:51:53,"@Jerry_grey2002 @JChengWSJ @LiYuan6 No, he won't, because he makes living by spreading misinformation about mainland.",https://twitter.com/Smar363795592/status/1603613863743606784,reply,0,2,0,0,0.257,0.743,0.0,-0.5423
275,1603844210599526400,,taotheking1550,2022-12-16 20:07:12,"RT @Jerry_grey2002: @JChengWSJ @LiYuan6 Jonathan, this is complete BS and you know it

I've been in China throughout the pandemic, I've nev…",https://twitter.com/twitter/statuses/1603844210599526400,retweet,0,0,14,0,0.0,1.0,0.0,0.0
276,1603842880522620937,,UnrulyBastian,2022-12-16 20:01:55,"RT @Jerry_grey2002: @JChengWSJ @LiYuan6 Jonathan, this is complete BS and you know it

I've been in China throughout the pandemic, I've nev…",https://twitter.com/twitter/statuses/1603842880522620937,retweet,0,0,14,0,0.0,1.0,0.0,0.0
277,1603789735851442178,,fleme95,2022-12-16 16:30:44,"RT @Jerry_grey2002: @JChengWSJ @LiYuan6 Jonathan, this is complete BS and you know it

I've been in China throughout the pandemic, I've nev…",https://twitter.com/twitter/statuses/1603789735851442178,retweet,0,0,14,0,0.0,1.0,0.0,0.0
278,1603778097828233221,,Kongduino,2022-12-16 15:44:29,"RT @Jerry_grey2002: @JChengWSJ @LiYuan6 Jonathan, this is complete BS and you know it

I've been in China throughout the pandemic, I've nev…",https://twitter.com/twitter/statuses/1603778097828233221,retweet,0,0,14,0,0.0,1.0,0.0,0.0
279,1603777662383968262,,dlcmh,2022-12-16 15:42:46,"RT @Jerry_grey2002: @JChengWSJ @LiYuan6 Jonathan, this is complete BS and you know it

I've been in China throughout the pandemic, I've nev…",https://twitter.com/twitter/statuses/1603777662383968262,retweet,0,0,14,0,0.0,1.0,0.0,0.0
280,1603718180115189761,,GabS91339962,2022-12-16 11:46:24,"RT @Jerry_grey2002: @JChengWSJ @LiYuan6 Jonathan, this is complete BS and you know it

I've been in China throughout the pandemic, I've nev…",https://twitter.com/twitter/statuses/1603718180115189761,retweet,0,0,14,0,0.0,1.0,0.0,0.0
281,1603712874928799744,,ShankHu15,2022-12-16 11:25:19,"RT @Jerry_grey2002: @JChengWSJ @LiYuan6 Jonathan, this is complete BS and you know it

I've been in China throughout the pandemic, I've nev…",https://twitter.com/twitter/statuses/1603712874928799744,retweet,0,0,14,0,0.0,1.0,0.0,0.0
282,1603707477010284544,,kaisoKG,2022-12-16 11:03:52,"RT @Jerry_grey2002: @JChengWSJ @LiYuan6 Jonathan, this is complete BS and you know it

I've been in China throughout the pandemic, I've nev…",https://twitter.com/twitter/statuses/1603707477010284544,retweet,0,0,14,0,0.0,1.0,0.0,0.0
283,1603667543830536193,,cicigici,2022-12-16 08:25:11,"RT @Jerry_grey2002: @JChengWSJ @LiYuan6 Jonathan, this is complete BS and you know it

I've been in China throughout the pandemic, I've nev…",https://twitter.com/twitter/statuses/1603667543830536193,retweet,0,0,14,0,0.0,1.0,0.0,0.0
284,1603657129759498241,,babouviste,2022-12-16 07:43:48,"RT @Jerry_grey2002: @JChengWSJ @LiYuan6 Jonathan, this is complete BS and you know it

I've been in China throughout the pandemic, I've nev…",https://twitter.com/twitter/statuses/1603657129759498241,retweet,0,0,14,0,0.0,1.0,0.0,0.0
285,1603642294954971139,,lim3329,2022-12-16 06:44:52,"RT @Jerry_grey2002: @JChengWSJ @LiYuan6 Jonathan, this is complete BS and you know it

I've been in China throughout the pandemic, I've nev…",https://twitter.com/twitter/statuses/1603642294954971139,retweet,0,0,14,0,0.0,1.0,0.0,0.0
286,1603622716480765953,,vefoodfest,2022-12-16 05:27:04,"RT @Jerry_grey2002: @JChengWSJ @LiYuan6 Jonathan, this is complete BS and you know it

I've been in China throughout the pandemic, I've nev…",https://twitter.com/twitter/statuses/1603622716480765953,retweet,0,0,14,0,0.0,1.0,0.0,0.0
287,1603621434307186688,1603578408260313091,Marchx99,2022-12-16 06:21:58,"@slyowusu @JChengWSJ @LiYuan6 Virus has been mild while people were locked in their house for couple of months in Shanghai and all over China, so what has changed? Nothing, it was just political ambitions regardless of individuals. Dear leader could have announced victory at any time he wanted",https://twitter.com/Marchx99/status/1603621434307186688,reply,0,0,0,0,0.0,0.948,0.052,0.3818
